Benchmark,type,OS,CPU,Dataset,Execution_time,RAM_usage_kb,CPU_usage
    
Benchmarking SEGUL,concat,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/esselstyn_2021_nexus_trimmed,0:02.32,603756,142%
Benchmarking SEGUL,concat,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/esselstyn_2021_nexus_trimmed,0:02.33,610216,152%
Benchmarking SEGUL,concat,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/esselstyn_2021_nexus_trimmed,0:02.34,604840,148%
Benchmarking SEGUL,concat,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/esselstyn_2021_nexus_trimmed,0:02.26,607260,148%
Benchmarking SEGUL,concat,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/esselstyn_2021_nexus_trimmed,0:02.33,601728,147%
Benchmarking SEGUL,concat,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/esselstyn_2021_nexus_trimmed,0:02.33,603636,149%
Benchmarking SEGUL,concat,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/esselstyn_2021_nexus_trimmed,0:02.33,605760,147%
Benchmarking SEGUL,concat,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/esselstyn_2021_nexus_trimmed,0:02.34,612416,148%
Benchmarking SEGUL,concat,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/esselstyn_2021_nexus_trimmed,0:02.26,608048,153%
Benchmarking SEGUL,concat,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/esselstyn_2021_nexus_trimmed,0:02.31,611400,151%
Benchmarking SEGUL,concat,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/oliveros_2019_80p_trimmed,0:03.89,650608,128%
Benchmarking SEGUL,concat,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/oliveros_2019_80p_trimmed,0:03.64,652856,147%
Benchmarking SEGUL,concat,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/oliveros_2019_80p_trimmed,0:03.69,649224,146%
Benchmarking SEGUL,concat,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/oliveros_2019_80p_trimmed,0:03.65,654124,147%
Benchmarking SEGUL,concat,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/oliveros_2019_80p_trimmed,0:03.63,653372,147%
Benchmarking SEGUL,concat,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/oliveros_2019_80p_trimmed,0:03.61,651768,148%
Benchmarking SEGUL,concat,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/oliveros_2019_80p_trimmed,0:03.56,653688,158%
Benchmarking SEGUL,concat,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/oliveros_2019_80p_trimmed,0:03.58,655648,148%
