Apps,Version,Pubs,Datasets,ntax,alignment_counts,site_counts,Datatype,Analyses,Platform,OS_name,CPU,Benchmark_dates,Latest_bench,Execution_time,RAM_usage_kb,CPU_usage
        
SEGUL,0.16.3,Wu et al. 2018,Wu et al. 2018 (AA),90,5162,3050198,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/10/2022,TRUE,0:02.60,382304,126%
SEGUL,0.16.3,Wu et al. 2018,Wu et al. 2018 (AA),90,5162,3050198,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/10/2022,TRUE,0:02.60,382608,126%
SEGUL,0.16.3,Wu et al. 2018,Wu et al. 2018 (AA),90,5162,3050198,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/10/2022,TRUE,0:02.60,385328,126%
SEGUL,0.16.3,Wu et al. 2018,Wu et al. 2018 (AA),90,5162,3050198,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/10/2022,TRUE,0:02.59,380160,126%
SEGUL,0.16.3,Wu et al. 2018,Wu et al. 2018 (AA),90,5162,3050198,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/10/2022,TRUE,0:02.60,378224,126%
SEGUL,0.16.3,Wu et al. 2018,Wu et al. 2018 (AA),90,5162,3050198,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/10/2022,TRUE,0:02.60,413680,126%
SEGUL,0.16.3,Wu et al. 2018,Wu et al. 2018 (AA),90,5162,3050198,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/10/2022,TRUE,0:02.60,383152,125%
SEGUL,0.16.3,Wu et al. 2018,Wu et al. 2018 (AA),90,5162,3050198,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/10/2022,TRUE,0:02.60,386400,126%
SEGUL,0.16.3,Wu et al. 2018,Wu et al. 2018 (AA),90,5162,3050198,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/10/2022,TRUE,0:02.60,381392,126%
SEGUL,0.16.3,Wu et al. 2018,Wu et al. 2018 (AA),90,5162,3050198,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/10/2022,TRUE,0:02.61,381712,126%
SEGUL,0.16.3,Shen et al. 2018,Shen et al. 2018 (AA),343,2408,1162805,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/10/2022,TRUE,0:05.26,587408,113%
SEGUL,0.16.3,Shen et al. 2018,Shen et al. 2018 (AA),343,2408,1162805,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/10/2022,TRUE,0:05.05,602208,122%
SEGUL,0.16.3,Shen et al. 2018,Shen et al. 2018 (AA),343,2408,1162805,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/10/2022,TRUE,0:05.05,599792,122%
SEGUL,0.16.3,Shen et al. 2018,Shen et al. 2018 (AA),343,2408,1162805,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/10/2022,TRUE,0:05.06,604784,122%
SEGUL,0.16.3,Shen et al. 2018,Shen et al. 2018 (AA),343,2408,1162805,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/10/2022,TRUE,0:05.06,599712,122%
SEGUL,0.16.3,Shen et al. 2018,Shen et al. 2018 (AA),343,2408,1162805,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/10/2022,TRUE,0:05.07,600640,122%
SEGUL,0.16.3,Shen et al. 2018,Shen et al. 2018 (AA),343,2408,1162805,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/10/2022,TRUE,0:05.07,603616,122%
SEGUL,0.16.3,Shen et al. 2018,Shen et al. 2018 (AA),343,2408,1162805,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/10/2022,TRUE,0:05.07,606160,121%
SEGUL,0.16.3,Shen et al. 2018,Shen et al. 2018 (AA),343,2408,1162805,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/10/2022,TRUE,0:05.07,601488,121%
SEGUL,0.16.3,Shen et al. 2018,Shen et al. 2018 (AA),343,2408,1162805,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/10/2022,TRUE,0:05.07,598400,122%
SEGUL (--datatype ignore),0.16.3,Wu et al. 2018,Wu et al. 2018 (AA),90,5162,3050198,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/10/2022,TRUE,0:00.82,378320,184%
SEGUL (--datatype ignore),0.16.3,Wu et al. 2018,Wu et al. 2018 (AA),90,5162,3050198,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/10/2022,TRUE,0:00.82,383696,182%
SEGUL (--datatype ignore),0.16.3,Wu et al. 2018,Wu et al. 2018 (AA),90,5162,3050198,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/10/2022,TRUE,0:00.83,379040,181%
SEGUL (--datatype ignore),0.16.3,Wu et al. 2018,Wu et al. 2018 (AA),90,5162,3050198,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/10/2022,TRUE,0:00.82,378944,183%
SEGUL (--datatype ignore),0.16.3,Wu et al. 2018,Wu et al. 2018 (AA),90,5162,3050198,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/10/2022,TRUE,0:00.82,381712,182%
SEGUL (--datatype ignore),0.16.3,Wu et al. 2018,Wu et al. 2018 (AA),90,5162,3050198,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/10/2022,TRUE,0:00.83,382656,181%
SEGUL (--datatype ignore),0.16.3,Wu et al. 2018,Wu et al. 2018 (AA),90,5162,3050198,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/10/2022,TRUE,0:00.85,384000,177%
SEGUL (--datatype ignore),0.16.3,Wu et al. 2018,Wu et al. 2018 (AA),90,5162,3050198,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/10/2022,TRUE,0:00.84,381008,180%
SEGUL (--datatype ignore),0.16.3,Wu et al. 2018,Wu et al. 2018 (AA),90,5162,3050198,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/10/2022,TRUE,0:00.82,383424,182%
